,Date,Favourites,Retweets,Timezone,Compound,Positive,Neutral,Negative,Physical Health,Learning and Career,Mental Wellbeing,Finances,Relationships,Travel and Holidays,Five or more favourites
0,Mon Jan 02 01:22:04 +0000 2017,34683,8239,Atlantic Time (Canada),0.0,0.0,1.0,0.0,0,0,0,0,0,0,1
1,Sun Jan 01 22:18:08 +0000 2017,4103,3295,Eastern Time (US & Canada),0.0,0.0,1.0,0.0,0,0,0,0,0,0,1
2,Sun Jan 01 18:20:01 +0000 2017,17646,5038,Eastern Time (US & Canada),0.0772,0.058,0.942,0.0,0,0,0,0,0,1,1
3,Tue Jan 03 09:24:07 +0000 2017,0,0,,-0.2723,0.147,0.67,0.182,0,0,0,0,0,0,0
4,Tue Jan 03 09:24:03 +0000 2017,0,0,,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0
5,Tue Jan 03 09:24:02 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
6,Tue Jan 03 09:23:48 +0000 2017,0,0,,0.5106,0.18,0.82,0.0,0,1,1,0,0,0,0
7,Tue Jan 03 09:23:21 +0000 2017,0,0,Mexico City,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
8,Tue Jan 03 09:23:16 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
9,Tue Jan 03 09:23:15 +0000 2017,0,0,Pacific Time (US & Canada),0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
10,Tue Jan 03 09:23:07 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0
11,Tue Jan 03 09:23:07 +0000 2017,0,0,Sydney,-0.0258,0.137,0.719,0.144,0,0,0,0,0,0,0
12,Tue Jan 03 09:22:59 +0000 2017,0,0,Arizona,0.4404,0.132,0.868,0.0,0,0,0,0,0,0,0
13,Tue Jan 03 09:22:48 +0000 2017,0,0,Pacific Time (US & Canada),0.8689,0.419,0.581,0.0,1,0,0,0,0,0,0
14,Tue Jan 03 09:22:38 +0000 2017,0,0,Pacific Time (US & Canada),-0.4404,0.0,0.818,0.182,0,0,0,0,0,0,0
15,Tue Jan 03 09:22:33 +0000 2017,0,0,Pacific Time (US & Canada),0.7269,0.225,0.775,0.0,0,0,0,0,0,0,0
16,Tue Jan 03 09:22:21 +0000 2017,0,0,Pacific Time (US & Canada),-0.7783,0.0,0.57,0.43,0,0,0,0,0,0,0
17,Tue Jan 03 09:22:19 +0000 2017,0,1,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
18,Tue Jan 03 09:22:13 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0
19,Tue Jan 03 09:22:05 +0000 2017,0,0,London,0.4404,0.139,0.861,0.0,0,1,0,0,0,0,0
20,Tue Jan 03 09:21:59 +0000 2017,0,0,Pacific Time (US & Canada),0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
21,Tue Jan 03 09:21:38 +0000 2017,0,0,Bangkok,-0.2263,0.0,0.905,0.095,0,0,0,0,0,0,0
22,Tue Jan 03 09:21:17 +0000 2017,0,0,Indiana (East),0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
23,Tue Jan 03 09:20:51 +0000 2017,0,0,Mountain Time (US & Canada),0.0,0.0,1.0,0.0,0,1,0,0,0,0,0
24,Tue Jan 03 09:20:43 +0000 2017,0,0,Mountain Time (US & Canada),-0.2551,0.0,0.832,0.168,0,0,0,0,0,0,0
25,Tue Jan 03 09:20:42 +0000 2017,0,0,Pacific Time (US & Canada),0.0,0.0,1.0,0.0,0,1,0,0,0,0,0
26,Tue Jan 03 09:20:31 +0000 2017,0,0,,0.6124,0.196,0.748,0.056,0,1,0,0,1,0,0
27,Tue Jan 03 09:20:26 +0000 2017,0,0,Eastern Time (US & Canada),0.4019,0.153,0.847,0.0,0,0,1,0,0,0,0
28,Tue Jan 03 09:20:20 +0000 2017,0,0,,0.296,0.136,0.864,0.0,0,0,0,0,0,0,0
29,Tue Jan 03 09:19:48 +0000 2017,1,0,Athens,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
30,Tue Jan 03 09:19:20 +0000 2017,0,0,Pacific Time (US & Canada),0.5574,0.338,0.662,0.0,0,0,1,0,0,0,0
31,Tue Jan 03 09:19:14 +0000 2017,0,0,Central Time (US & Canada),0.6486,0.371,0.629,0.0,0,0,0,0,0,0,0
32,Tue Jan 03 09:19:09 +0000 2017,3,0,Amsterdam,0.5574,0.122,0.878,0.0,0,0,1,0,0,0,0
33,Tue Jan 03 09:19:07 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
34,Tue Jan 03 09:18:37 +0000 2017,0,0,,-0.4404,0.0,0.674,0.326,0,0,0,0,0,0,0
35,Tue Jan 03 09:18:12 +0000 2017,0,0,Athens,0.6249,0.389,0.611,0.0,0,0,0,0,0,0,0
36,Tue Jan 03 09:17:51 +0000 2017,0,0,Arizona,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
37,Tue Jan 03 09:17:36 +0000 2017,0,0,,0.564,0.148,0.852,0.0,0,0,0,0,0,0,0
38,Tue Jan 03 09:17:29 +0000 2017,0,0,Pacific Time (US & Canada),0.6943,0.293,0.535,0.172,0,0,0,0,0,0,0
39,Tue Jan 03 09:17:17 +0000 2017,0,0,Dublin,-0.1027,0.0,0.909,0.091,1,1,0,0,0,0,0
40,Tue Jan 03 09:17:15 +0000 2017,0,0,Beijing,-0.5423,0.0,0.759,0.241,0,0,0,0,0,0,0
41,Tue Jan 03 09:17:10 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
42,Tue Jan 03 09:16:59 +0000 2017,1,0,,0.4215,0.118,0.882,0.0,0,0,0,0,0,0,0
43,Tue Jan 03 09:16:45 +0000 2017,0,0,Pacific Time (US & Canada),0.0,0.0,1.0,0.0,1,0,0,0,0,0,0
44,Tue Jan 03 09:16:39 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
45,Tue Jan 03 09:16:35 +0000 2017,0,0,,-0.5423,0.0,0.696,0.304,0,0,0,0,0,0,0
46,Tue Jan 03 09:16:30 +0000 2017,1,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
47,Tue Jan 03 09:16:28 +0000 2017,0,1,London,0.743,0.259,0.741,0.0,1,0,0,0,0,0,0
